,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015
Yarek Gasiorowski,5.86,6.99,,,,,,,,
Hugo Duro,8.1,0.0,5.93,6.15,6.17,6.74,7.17,6.32,,
José Luis Gayà,6.55,7.43,7.58,5.93,7.78,8.11,5.81,8.05,6.98,7.83
Luis Rioja,7.99,5.94,,6.2,5.57,6.13,,,,
André Moreira,7.66,7.52,8.1,,,,,,,
César Tárrega,6.51,6.71,,,,,,,,
Enzo Barrenechea,6.77,7.97,6.88,,,,,,,
Thierry Correia,6.17,6.49,6.27,6.6,6.43,7.21,,,,
Giorgi Mamardashvili,5.71,5.69,6.89,5.83,,,,,,
Diego López,5.64,6.78,4.53,7.74,,7.88,7.14,5.86,5.75,5.64
Jesus Vazquez,6.73,7.11,6.29,7.41,,,,,,
Hugo Guillamón,6.03,7.49,6.65,5.97,7.42,6.92,,,,
Iker Córdoba,5.88,,,,,,,,,
Cristhian Mosquera,8.01,7.58,6.07,6.3,,,,,,
Javier Guerra,5.48,5.43,6.27,,,,,,,
Germán Valera,7.76,,,6.01,,5.59,,,,
Juan Pérez,7.08,7.89,6.87,0.0,7.29,7.63,,,,
Martín Tejón,6.1,,,,,,,,,
Dani Gómez,6.1,,6.0,7.16,5.58,,,,,6.51
David Otorbi,5.86,,,,,,,,,
Alberto Marí,6.23,6.85,5.33,,,,,,,
Rafa Mir,6.41,5.36,5.79,7.35,7.49,,,,7.42,
Stole Dimitrievski,5.84,6.65,5.91,6.75,,,6.44,,,
Maximiliano Caufriez,7.46,6.11,6.46,,,,,,,
Rodrigo Abajas,5.09,,,,,,,,,
Antoine Griezmann,7.74,6.71,7.98,7.51,6.62,8.03,7.34,6.68,8.62,6.95
Marcos Llorente,6.72,7.45,8.12,7.56,7.64,8.11,7.92,6.3,7.62,6.02
Pablo Barrios,6.88,6.6,6.35,,,,,,,
Juan Musso,6.32,7.05,5.86,7.17,7.16,5.83,5.85,,,
José María Giménez,5.73,7.88,7.45,6.3,7.23,6.11,5.85,5.8,6.22,6.48
Rodrigo De Paul,6.65,6.03,7.9,8.0,8.39,7.86,7.73,6.49,8.17,7.73
Jan Oblak,6.15,5.69,7.88,7.98,7.95,6.74,6.71,6.9,7.1,7.63
Axel Witsel,6.0,6.22,7.52,7.74,7.63,6.78,7.24,,,
Koke,7.63,6.13,5.87,7.43,5.1,7.13,6.41,6.32,5.74,8.75
Nahuel Molina,6.57,7.57,7.88,6.83,6.06,,,,,
Samuel Lino,7.59,6.14,6.31,,,,,,,
Giuliano Simeone,7.62,6.19,,,,,,,,
Robin Le Normand,6.6,7.05,5.62,5.83,5.57,7.56,6.94,,,
Ángel Correa,6.94,6.11,7.25,5.64,8.25,6.63,6.25,7.01,6.62,8.05
Javi Galán,6.2,6.63,6.99,8.12,6.86,,6.16,,,
Rodrigo Riquelme,7.41,5.64,6.24,,,7.52,,,,
Reinildo Mandava,5.42,6.92,6.26,5.88,6.91,6.93,5.5,,,
Thomas Lemar,5.72,6.79,6.47,7.64,7.55,5.59,7.03,7.43,7.54,7.96
Miguel Gutiérrez,6.88,6.0,6.82,7.22,6.24,5.3,,,,
Viktor Tsyhankov,7.83,7.1,6.27,,,,,,,
Ladislav Krejčí,8.05,,,,,5.45,5.53,5.94,7.1,
Yaser Asprilla,6.26,,,,,,,,,
Yangel Herrera,7.31,7.23,6.86,6.0,7.9,7.76,5.78,,,
Arnau Martinez,7.84,7.79,7.11,,,,,,,
Iker Almena,2.0,,,,,,,,,
Juanpe,6.15,7.41,7.7,,,,7.62,6.32,,
Iván Martín,7.08,7.89,6.73,7.1,,,,,,
David López,6.18,7.41,6.98,7.96,,6.22,8.26,7.01,7.54,7.04
Alejandro Francés,5.97,,,,,,,,,
Bojan Miovski,7.16,,,,,,,,,
Gabriel Osei Misehouy,7.14,,,,,,,,,
Ferrán Ruiz,7.19,7.66,5.83,7.52,7.59,7.75,6.07,7.5,5.43,7.67
Silvi Clúa,6.37,7.44,,,,,,,,
Papa Ba,6.41,,,,,,,,,
Portu,6.79,7.54,5.64,6.56,6.68,7.17,7.15,5.82,,
Abel Ruiz,5.64,,,,,,5.55,,,
Jhon Solis,7.86,5.46,,,,,,,,
Manu Koné,8.21,8.03,6.66,5.92,,7.11,7.29,,,
Augusto Batalla,6.61,7.83,,,,,,,,
Alfonso Espino,5.64,5.7,7.73,6.96,6.88,,,,,
Andrei Ratiu,8.3,6.51,,,,,,,,
Álvaro García,7.07,7.59,8.26,6.94,,,5.41,,,
Jorge de Frutos,6.48,5.58,,6.38,7.38,5.8,,,,
Ali Kalla,7.29,6.66,7.25,7.53,,,,,,
Unai López,7.3,7.26,7.92,6.27,6.29,7.11,6.41,,7.57,
Sergio Camello,7.46,5.68,7.23,,,6.51,6.24,,,
Pep Chavarría,7.14,7.3,6.1,,,,,,,
Óscar Valentín,6.58,7.45,6.28,8.05,,,,,,
Gerard Gumbau,7.97,5.78,7.95,7.38,,,7.23,7.06,,6.52
Abdul Mumin,7.59,5.83,6.54,,,,,,,
Randy Nteka,7.14,5.58,6.73,7.12,,,,,,
Adri Embarba,8.04,6.85,7.71,7.48,,7.74,7.81,,,6.0
Sergi Guardiola,7.95,6.88,5.6,7.77,5.43,7.99,7.84,,,
Aridane Hernández,6.79,7.95,7.92,6.32,7.73,6.54,,,,
Iván Balliu,7.45,7.12,7.08,6.54,,,,7.64,7.17,
Pedro Díaz,5.38,,,,,,,,,
Cárdenas,6.92,5.93,,7.8,7.42,,,,,
Óscar Trejo,7.69,5.9,5.35,7.81,,,8.02,,7.1,6.47
Martín Zubimendi,6.07,7.33,7.66,7.08,6.95,7.39,7.34,,,
Jon Magunacelaya,8.55,7.69,6.1,,,,,,,
Luka Sučić,6.15,,,,,,,,,
Álex Remiro,7.21,6.1,6.45,7.3,7.35,8.11,,,,
Takefusa Kubo,8.16,6.12,5.73,7.85,7.01,8.14,,,,
Hamari Traoré,7.19,7.03,6.24,5.79,7.7,7.44,6.89,7.84,,6.44
Igor Zubeldia,6.78,7.1,7.0,7.3,5.69,7.21,6.95,7.5,6.57,6.09
Jon Aramburu,6.44,5.77,,,,,,,,
Aritz Elustondo,6.0,7.46,7.32,7.35,6.5,5.51,6.04,6.12,5.28,7.0
Brais Méndez,5.64,5.79,5.78,7.95,6.13,6.38,5.97,6.93,,
Ander Barrenetxea,7.96,7.64,6.4,7.26,5.44,6.07,6.78,,,
Sheraldo Becker,7.14,6.76,8.52,6.56,6.61,5.52,,,,
Jon Pacheco,6.69,5.46,6.66,7.36,6.73,6.17,,,,
Jon Martin,7.43,5.76,,,,,,,,
Beñat Turrientes,7.85,7.83,6.84,5.34,,,,,,
Mikel Oyarzabal,7.26,7.72,5.46,7.52,7.45,8.04,7.45,7.0,6.16,6.14
Aihen Muñoz,5.48,5.61,6.84,7.05,6.03,5.61,6.59,,,
Pablo Marín,6.14,,7.46,,,,,,,
Javi López,7.73,5.49,,5.25,7.07,6.61,7.52,7.65,6.6,5.73
Jon Ander Garrido,6.1,6.66,6.56,,6.14,,,,,
Orri Steinn Óskarsson,7.13,,,,,,,,,
Umar Sadiq,5.36,5.85,7.06,,,,,5.5,7.38,5.54
Álvaro Odriozola,7.72,5.66,5.51,6.32,6.67,0.0,5.67,6.0,7.59,
Urko González,6.98,6.5,,,7.72,,,,,
Sergio Herrera,7.13,7.19,6.67,7.82,7.36,5.94,,,,
Ante Budimir,6.32,8.38,7.1,6.71,5.65,7.67,,7.13,6.17,
Rubén García,7.37,6.01,5.71,6.93,12.0,7.18,,,,6.56
Bryan Zaragoza,7.89,6.53,,,,,,,,
Alejandro Blesa,7.77,5.82,7.02,7.19,7.12,6.81,12.0,,,
Aimar Oroz,7.85,7.85,6.16,,,6.99,,,,
Flavien Tait,8.05,,7.29,6.99,8.18,5.46,6.7,7.6,5.75,
Jon Moncayola,6.72,6.53,7.37,7.84,8.1,7.41,,,,
Lucas Torró,6.73,5.62,7.68,7.74,8.12,6.66,7.39,,,
Axel Werner,5.53,,5.23,,,,6.34,7.92,,
Jesús Areso,7.96,7.0,,5.45,,,,,,
José Manuel Jurado,6.2,7.45,,,,6.38,6.69,7.8,,
Pablo Ibáñez,5.94,6.66,6.2,,,,,,,
Raúl García,5.82,7.78,7.48,8.02,6.68,5.69,7.09,7.85,7.82,6.2
Jorge Herrando,5.48,8.01,5.25,,,,,,,
Juan Cruz,6.37,6.67,6.48,6.87,7.31,,,4.0,,
Iker Muñoz,6.26,5.85,5.35,,,,,,,
Iker Benito,5.5,,6.5,7.16,,,,,,
Rubén Peña,7.14,8.05,5.82,5.25,7.07,7.08,6.51,7.23,7.16,
Javi Martínez,7.09,,,6.06,7.45,6.88,6.9,7.81,8.54,6.36
Nacho Vidal,5.81,7.63,6.61,8.01,8.02,7.64,,7.25,,
Moi Gómez,6.91,7.39,6.99,7.58,6.9,7.16,5.68,,7.07,7.82
Karl Etta,7.18,,,,,,,,,
Iván Sánchez,7.83,,6.18,,,,,,,
Anuar,7.3,,7.14,,,5.62,7.66,,,
Mario Maroto,6.94,,,,,,,,,
Abdulai Juma Bah,7.38,,,,,,,,,
Raúl Moro,5.62,,,5.88,6.65,,,,,
Selim Amallah,5.51,6.32,6.88,,,,,,,
Luis Pérez,7.15,,7.34,,6.39,,,,,
Kike Pérez,6.57,6.68,8.0,7.8,6.81,6.85,,,,
Cenk Özkacar,5.97,8.05,8.07,,,,,,,
Mamadou Sylla,6.1,6.63,,6.26,,,,,,7.41
Marcos André,5.55,,5.75,6.24,5.53,,,,,
Javi Sánchez,7.35,6.6,6.17,5.36,6.29,5.96,7.97,5.67,8.14,6.86
Luca Mora,7.82,,6.62,,6.26,,,7.82,,
Adama Niane,6.8,6.59,7.5,5.33,,5.65,6.04,7.26,,
Stanko Jurić,7.87,,,,,,,,,
Mario Martín,5.32,6.67,,,,,,,,
Darwin Machís,5.82,5.44,6.31,7.77,6.48,8.01,7.37,,7.51,
David Torres,7.41,,7.06,,,,,,,
Eray Cömert,6.32,6.25,7.69,5.18,,,,,,
Juanmi Latasa,7.13,6.11,7.15,7.56,,,,,,
Víctor Meseguer,7.06,,,,,,,,,
Chuca,5.65,,,,,,,5.62,,
Raúl Chasco,6.63,,,,,,,,6.48,
Gerard Moreno,7.21,6.38,5.6,7.89,6.46,8.03,7.22,8.43,7.92,7.18
Sergi Cardona,7.7,6.16,,,,,,,,
Santi Comesaña,5.71,6.27,6.03,5.51,,,6.61,,,
Ilias Akhomach,6.39,7.63,,5.94,,,,,,
Daniel Parejo,7.03,7.14,6.59,7.97,6.92,8.23,8.78,6.11,6.43,7.12
Pape Gueye,8.15,6.35,7.69,5.71,6.38,,,,,
Thierno Barry,5.88,,,,,,,,,
Diego Conde,6.34,,,5.27,,,,,,
Logan Costa,9.13,6.29,6.9,,,,,,,
Yeremi Pino,7.93,6.95,6.63,5.65,6.42,,,,,
Lago Junior,7.07,,7.45,6.33,,5.28,,,,
Pau Navarro,6.32,,,,,,,,,
Juan Bernat,7.19,,6.08,6.93,6.86,7.08,6.22,6.84,7.03,7.53
Raúl Albiol,6.32,6.88,7.28,8.08,7.39,8.25,8.24,6.07,6.55,7.19
Thiago Maia,7.27,5.47,,,,5.79,7.5,5.55,,
Ramón Terrats,6.09,7.97,7.42,,,,,,,
Marko Dmitrović,7.89,6.03,2.0,6.62,7.59,6.99,5.45,7.22,,
Jorge Sáenz,6.29,,,,,5.39,,,,
Juan Soriano,7.33,,,,,7.07,7.4,,,
Dani Raba,7.98,,,7.48,7.14,,6.38,6.6,,
Sergio González,5.67,,,,5.88,,,,,
Juan Rodríguez,7.08,8.04,7.38,6.37,6.2,5.58,7.55,,7.19,6.13
Yvan Neyou,6.62,,,6.53,5.53,,,,,
Matija Nastasić,6.1,6.97,6.83,6.28,6.31,8.3,5.89,5.77,6.25,7.55
Valentin Rosier,7.6,7.32,,,,,7.85,6.97,7.3,
Seydouba Cissé,5.45,,,,,,,,,
Renato Tapia,6.88,6.53,7.85,6.03,6.79,,,,,
Darko Brašanac,5.86,5.37,7.93,5.93,7.57,7.81,5.32,7.42,6.31,
Adrià Altimira,7.05,6.49,,,,,,,,
Diego Farias,6.94,,,5.59,7.32,5.55,6.31,7.61,5.75,
Aritz Arambarri,6.18,,,,5.48,,,,,
Enric Franquesa,6.84,,,5.63,,,,,,
Roberto López,5.97,,,,6.63,6.04,6.13,,,
Munir El Haddadi,6.29,6.48,6.69,7.53,5.63,7.29,6.68,8.39,6.98,8.12
Miguel de las Cuevas,6.79,7.44,,6.18,,5.8,6.0,,6.2,
Julián Chicco,5.47,,,,,,,,,
Dario Essugo,6.82,,,,,,,,,
Jasper Cillessen,8.23,,,6.34,7.36,7.05,6.35,7.32,5.17,
Kirian Rodríguez,0.0,7.52,,,,,,,,
Álex Muñoz,7.89,,,,,,,,,
Alberto Moleiro,5.94,6.96,,,,,,,,
José Campaña,5.82,6.41,,6.31,8.61,7.3,5.75,6.54,,
Javier Muñoz,5.75,7.92,,,,5.72,,,,
Juan Herzog,7.32,6.16,,,,,,,,
Mika Màrmol,7.54,7.79,,,,,,,,
Dinko Horkaš,7.99,,,,,,,,,
Manuel Fuster,5.92,,,,,,,,,
Pejiño,7.76,6.19,,,,,,,,
Daley Sinkgraven,5.98,5.52,6.91,6.31,7.89,6.9,,,,
Benito Ramírez,7.55,6.62,,,,,,7.58,6.61,
Álex Suárez,5.91,7.34,,,,,,,,
Fabio González,5.97,6.36,,,,6.54,,6.1,,
Martin Turk,7.03,7.84,8.35,,7.43,,,,,
Jaime Mata,6.41,6.96,6.54,7.3,5.97,6.49,6.26,,,
Enzo Loiodice,6.26,5.71,,,,7.63,5.73,7.04,,
Marc Cardona,7.34,5.61,,,5.38,5.53,7.29,,,
Aboubacar Bassinga,6.31,,,,,,,,,
Lamine Yamal,7.43,8.04,6.38,,,,,,,
Robert Lewandowski,7.62,6.57,6.58,7.17,7.78,6.19,7.53,8.78,7.52,8.45
Pedri,6.56,7.03,7.75,6.37,7.89,,,,,
Pablo Torre,7.11,6.18,6.18,,,,,,,
Dani Olmo,8.31,6.3,7.76,6.48,7.39,6.73,,,,
Iñigo Martínez,6.92,6.06,6.05,8.12,7.11,8.2,7.32,6.61,8.17,6.62
Jules Koundé,6.1,8.28,6.85,8.52,6.13,5.93,6.61,7.09,,
Marc Casado,8.36,6.72,,,,,,,,
Marc Bernal,4.0,,,,,,,,,
Iñaki Peña ,8.0,6.64,5.15,,,,,,,
Alejandro Balde,5.97,5.77,6.51,5.74,,,6.66,7.87,0.0,7.5
Pau Cubarsí,5.6,7.76,,,,,,,,
João Victor,6.93,,6.39,,,,,,,
Marc-André ter Stegen,6.69,5.91,8.51,7.76,8.04,5.6,7.71,8.43,7.52,7.14
Gavi,6.4,6.25,7.27,8.07,,,,,,
Frenkie de Jong,6.32,6.81,7.41,6.59,7.12,8.21,,,,
Héctor Fort,6.44,7.71,,,,,,,,
Gerard Martín,7.81,,,,,,,,,
Fermin López,6.28,7.51,,,,,,,,
Sergi Dominguez,5.38,,,,,,,,,
Leo Román,7.52,,7.88,6.71,,,,,,
Antonio Raillo,6.37,8.0,6.42,8.13,,5.68,,,,7.82
Pablo Maffeo,6.8,7.86,5.58,7.0,6.73,,7.48,5.58,,
Dani Rodríguez,6.88,7.89,6.93,7.88,,5.6,,,,
Sergi Darder,6.85,6.17,7.32,12.0,,6.79,5.72,6.33,6.28,7.14
Dominik Greif,8.1,8.42,7.95,6.82,,,,,,
Vedat Muriqi,5.97,6.06,6.81,6.7,5.93,,,,,
Manu Morlanes,7.22,7.68,7.73,5.95,,5.74,5.91,,,
Samu Costa,7.67,7.87,8.1,,,,,,,
Johan Mojica,7.86,5.7,6.13,5.92,6.91,,7.63,7.15,,
Martin Valjent,6.21,7.28,5.61,6.83,,6.81,,,,
Cyle Larin,7.58,6.04,7.98,,,,,,,
Valery Fernández,6.1,6.09,5.4,,,,7.5,,,
Omar Mascarell,5.9,5.82,6.13,7.71,7.0,7.12,6.33,8.31,6.13,7.39
Roberto Navarro,5.41,8.02,7.55,8.07,7.46,,,,,
Daniel Luna,7.01,,,,,,,,,
Takuma Asano,6.09,5.53,5.71,7.81,,,5.56,5.35,,
Antonio Sánchez,6.66,7.98,5.34,5.4,,,,,,
Siebe Van Der Heyden,7.84,7.69,,,,,,,,
Abdón Prats,6.11,7.65,5.93,6.49,,5.81,,,,
Javier Llabrés,6.2,5.48,6.58,6.02,,,,,,
Toni Lato,5.91,7.29,5.47,5.9,6.27,7.75,5.61,7.49,6.11,
Marc Domenech,6.35,,,,,,,,,
Mateu Morey,5.51,6.01,,,6.14,6.18,,,,
Manu Bueno,8.79,6.36,5.78,,,,,,,
Chidera Ejuke,5.86,,7.21,,,,,,,
Loïc Bade,6.44,4.0,5.5,5.65,7.5,,,,,
Lucas Ocampos,7.93,8.06,6.73,6.46,8.21,6.69,5.83,7.61,8.17,7.42
Tanguy Nianzou,7.34,7.65,7.42,6.83,5.41,5.83,,,,
Nemanja Gudelj,6.88,5.86,6.28,6.19,5.97,6.14,,,,
Kike Salas,7.11,7.96,7.4,,6.43,,,,,6.0
Adrià Pedrosa,5.88,7.74,6.93,5.95,,6.66,7.19,,,
Lucien Agoume,7.5,6.72,7.64,6.84,5.94,7.56,,,,
Djibril Sow,5.92,6.89,7.16,6.5,6.18,7.7,,,,
Stanis Idumbo,6.21,,,,,,,,,
Mateo Mejía,7.06,,,,,,,,,
Suso,7.76,6.25,6.5,7.46,6.47,7.96,6.68,8.08,7.18,8.41
Juanlu Sánchez,7.11,7.32,,5.55,,,,,,
Isaac Romero,7.59,7.75,,,,,,,,
Israel Domínguez,7.01,,,,,,,,,
Pablo Fernández,7.09,,,,,,,,7.39,
Marcão,6.72,6.11,6.89,,,,,,,
Unai Núñez,7.57,6.74,6.27,6.48,7.63,5.8,6.62,8.01,,
Iñaki Williams,6.24,5.99,6.95,7.91,7.07,5.99,6.93,5.58,6.64,8.15
Daniel Vivian,8.16,7.13,6.65,7.42,,,,,,
Álex Berenguer,8.23,6.55,8.24,6.95,7.09,8.27,6.18,6.43,6.44,
Oihan Sancet,7.43,6.25,7.94,6.6,6.06,7.0,,,,
Julen Agirrezabala,6.85,6.58,6.98,8.42,,,,,,
Nico Williams,6.03,6.42,6.31,7.54,7.59,,,,,
Gorka Guruzeta,6.89,5.81,8.19,,,,6.84,,,
Peio Canales,7.19,,,,,,,,,
Aitor Paredes,6.91,5.82,6.42,,,,,,,
Yeray Álvarez,7.34,7.78,8.2,6.22,7.17,5.99,7.9,7.32,8.04,
Óscar de Marcos,6.25,8.2,6.33,6.41,6.23,7.26,6.78,7.61,7.57,6.97
Iñigo Ruiz de Galarreta,6.52,5.61,7.03,6.25,,,,,,
Yuri Berchiche,6.4,6.33,7.31,6.92,6.2,6.1,6.99,6.35,7.31,6.55
Mikel Jauregizar,6.57,6.85,,,,,,,,
Alex Padilla,5.67,,,,,,,,,
Beñat Prados,5.9,8.15,,,,,,,,
Mikel Vesga,6.91,6.21,5.84,6.59,5.43,6.5,7.86,5.65,5.63,
Álvaro djaló,5.83,,,,,,,,,
Andoni Gorosabel,6.95,6.95,5.6,6.14,6.6,6.85,7.98,6.44,,
Adama Boiro,7.11,,,,,,,,,
Unai Gómez,7.71,7.25,,,,,,,,
Iñigo Lekue,6.57,6.36,5.57,5.84,5.45,6.42,6.59,6.74,6.77,7.59
Nicolás Serrano,5.25,,,7.34,,,,,,
Javier Martín,5.41,,,,,,,,,
Unai Simón,5.86,5.77,7.79,7.83,7.72,5.69,6.19,,,
Malcom,5.46,6.15,6.02,,,,5.68,7.4,7.05,8.05
Toni Kroos,,6.71,7.64,6.7,8.11,7.85,8.15,6.49,9.14,8.56
David Alaba,6.59,6.94,6.73,6.28,6.61,7.64,6.07,8.31,7.35,8.3
Mario Fernández,,6.75,5.99,7.79,6.21,6.8,6.75,7.83,7.53,7.73
Gonzalo García,,7.3,,,,,,,,
Nicolás Paz,8.71,7.42,,,,,,,,
Jesús Owono,,6.6,,7.02,,,,,,
Ianis Hagi,,7.62,,,,,,,7.59,
Rafa Marín ,,8.2,,,,,,,,
Rubén Duarte,,6.74,,6.33,7.66,5.72,6.82,6.09,7.67,5.6
Sami Khedira,,7.89,,,5.81,6.65,7.04,6.45,7.63,10.0
Bobby Allain,,5.52,,,,,6.1,,,
Joaquín Panichelli,,5.63,,,,,,,,
Victor Parada,,5.66,,,,,,,,
Eneko Ortiz,,5.84,,,,,,,,
Jon Karrikaburu,,7.37,5.68,,,,,,,
Tomás Mendes,,6.21,,6.3,,,,,,
Unai Ropero,,7.06,,7.22,,,,,,
Juan Miranda,7.62,6.93,6.83,7.17,7.45,6.09,,,,
Luiz Henrique,,5.85,7.67,,,,,,,
Luiz Felipe,,7.07,7.91,6.58,7.22,7.66,7.44,7.83,,
Germán Pezzella,,6.39,7.87,5.57,5.83,7.67,8.46,7.1,7.93,6.81
Pablo Busto,,6.47,,,,,,,,
Paul Akouokou,,7.15,7.66,5.88,6.54,,,,,
Andrés Guardado,,6.2,7.36,6.48,6.74,5.45,5.66,7.12,,
Ricardo Visus,,6.36,,,,,,,,
Carlos Dotor,,7.23,,,,,,,,
Yoel Lago,,7.57,,,,,,,,
Kevin Vázquez,,6.53,6.42,7.5,6.18,7.91,7.21,,,
Tadeo Allende,,6.23,,,,,,,,
Miguel Rodríguez,,6.5,6.23,,7.08,,,,,
Gabriel Veiga,,5.21,5.76,6.63,6.13,,,,,
Nemanja Maksimović,,6.02,5.77,7.07,7.15,5.65,7.83,6.51,,
Gastón Álvarez,,5.54,7.25,,,,,,,
Damián Suárez,,6.31,7.12,6.32,7.77,6.23,5.85,7.18,,5.66
Fabrizio Angileri,,5.66,5.13,,,,,,,
Stefan Mitrović,,6.65,7.34,5.58,5.81,8.03,7.97,,,
Aarón Martín,7.74,5.67,5.94,6.42,6.45,7.02,6.12,7.66,6.24,
Jeremy Jorge,,7.23,,,,,,,,
Yassin Tallal,,7.47,,,,,,,,
Dani García,,7.42,7.95,5.41,5.67,7.02,7.4,7.23,7.95,7.02
Daniel Fuzato,,6.49,,,7.02,5.54,,,,
Jaume Doménech,,7.57,,7.48,5.77,5.99,7.18,8.09,7.24,8.45
Mouctar Diakhaby,,6.67,6.12,7.21,6.85,5.57,5.45,6.86,5.86,
Rubén Blanco,,0.0,7.85,7.02,6.39,6.05,6.14,7.99,7.21,7.44
Mario Dominguez,,7.99,,5.94,,,,,,
Cristian Rivera,,5.73,,,,6.31,7.83,5.83,6.32,
Hugo González,,7.6,,,,,,,,
Roman Yaremchuk,,5.84,,,,,,,,
Pablo Gozalbez,,6.66,,,,,,,,
Yannick Carrasco,,8.46,7.56,6.44,6.15,6.7,,5.65,7.87,5.62
Mario Hermoso,6.18,6.98,6.03,8.12,6.13,7.94,7.3,7.44,,
Stefan Savić,,6.74,6.45,7.13,7.94,6.99,7.32,8.07,7.88,8.08
Arthur Vermeeren,6.34,5.34,,,,,,,,
Salim El Jebari,,5.57,,,,,,,,
Abdellah Raihani,,6.61,,,,,,,,
Diego Méndez,,7.29,,,,,,,,
Miguel Trauco,,6.64,,5.62,5.83,6.6,,,,
Raúl de Tomás,,5.65,7.13,8.42,,5.67,5.84,,,
Bebé,,6.8,5.82,7.57,,,6.88,5.58,6.1,8.02
José Pozo,,6.43,7.44,6.83,,,7.33,,,
Antal Yaakobishvili,,6.74,,,,,,,,
Artem Dovbyk,7.44,7.33,,,,,,,,
Yan Couto,5.96,6.89,5.64,,,,,,,
Jastin García,,6.95,,,,,,,,
Toni Villa,,5.38,5.97,,7.5,6.96,5.9,,,
Ibrahima Kebe,,7.85,,,,,,,,
Marc Martínez,,7.7,,,,,,,,
Gonzalo Villar,,6.4,7.11,5.89,5.78,7.08,,,,
Sergio Ruiz,,7.72,,,,,5.64,,,
André Ferreira,,7.89,,,,,,,,
Pablo Saenz,,7.67,,,,,,,,
Lucas Boyé,,7.48,6.83,5.65,5.55,,,7.09,6.65,
Miguel Flaño,,6.86,,,7.41,,,5.72,5.51,
Famara Diedhiou,,6.2,,,,,,,6.41,
Bruno Méndez,,6.52,,,,,,,,
Ignasi Miquel,,5.41,,,,,6.99,5.86,,
Myrto Uzuni,,5.52,,6.97,,,,,,
Sergio Rodelas,,6.55,,,,,,,,
José Callejón,,7.05,,5.88,6.28,8.06,7.54,6.51,6.44,5.78
Carlos Neva,,7.31,,7.88,7.63,7.34,,,,
Ricard Sánchez ,,7.52,,,5.42,,,,,
Kamil Jóźwiak,,5.71,,,,,,,,
Faitout Maouassa,,5.48,7.47,,6.23,5.48,7.49,5.72,5.56,
Njegoš Petrović,,7.27,,5.85,,,,,,
Óscar Melendo,,7.06,,6.83,,6.93,5.52,6.95,6.85,
Matias Arezo,,7.02,,5.85,,,,,,
Alberto Soro,,5.63,,7.72,5.64,,,,,
Alberto Perea,,6.51,5.55,7.3,6.29,,,,,
Raúl Torrente,,7.86,,6.45,,,,,,
Antonio Puertas,,6.12,,6.82,6.86,5.63,,,,
Shon Weissman,,5.5,5.21,,7.5,,,,,
Martin Hongla,,6.41,7.15,7.77,,,,,5.31,
Wilson Manafá,,6.95,,,,,,,,
Kamil Piątkowski,,6.24,,,,,,,,
Raúl Fernández,,5.99,,,,,,7.39,,
Víctor Díaz,,5.54,,5.46,7.94,7.14,,,7.4,
Miguel Ángel Moyá,,5.12,,,,6.03,7.32,6.8,7.77,
Adrien Bongiovanni,,5.76,,,,,,,,
Arsen Zakharyan,,6.72,,,,,,,,
Carlos Fernández,,7.44,6.69,,6.69,6.94,,6.7,5.83,6.35
Unai Marrero,,7.31,,,,,,,,
André Silva,6.48,5.33,5.63,5.65,6.74,6.05,5.82,5.66,,
Mohamed Ali Cho,8.12,6.87,7.97,7.92,5.61,,,,,
Alberto Dadie,,6.01,,,,,,,,
Jonathan Viera,,6.18,,,,,,8.17,7.03,6.44
Lucas Robertone,,6.73,7.49,,,,,,,
Luis Javier Suárez,,6.49,6.97,6.93,5.94,,,,,
Sergio Arribas,,6.96,5.68,,5.95,,,6.78,,
Luís Maximiano,,8.05,4.0,6.46,,,,,,
Srđan Babić,,6.19,6.99,,,,,,,
Marc Pubill,,6.1,,6.46,,,,,,
Dion Lopy,,5.57,7.25,7.78,7.8,,,,,
Aleksandar Radovanović,,5.87,,,6.68,,,,,
Marcos Peña,,7.03,,,,,,,,
Léo Baptistão,,7.07,7.52,,,,5.86,6.6,6.09,7.74
Fernando Marçal,,7.79,5.64,,,,,,,
Diego Mariño,,6.49,2.0,,,,,,7.95,8.01
Bruno Langa,,6.5,,,,,,,,
Édgar González,,7.02,6.87,6.13,,6.08,,,,
Largie Ramazani,,7.95,6.16,,,,,,,
Iddrisu Baba,,6.84,6.75,7.86,,7.5,,,,
Rachid Alioui,,6.32,,,7.57,7.11,6.34,,,
César Montes,,7.91,6.71,,,,,,,
Anthony Lozano,,5.51,5.57,6.64,6.43,,5.98,5.66,,
Sergio Akieme,7.49,7.25,7.17,,,,5.86,,,
Gonzalo Melero,,7.41,6.88,7.21,6.9,7.04,6.24,,,
Álex Centelles,,5.42,5.86,,,,,,,
Chumi,,5.31,5.35,,,,,,,
Marko Milovanović,,7.15,7.17,,,,,,,
Lázaro,,5.79,7.62,,,,,,,
Ibrahima Koné,,6.95,7.4,7.62,,,,,,
Paco Sanz,,5.7,,,,,,,,
Alejandro Primo,6.3,6.81,6.94,5.41,6.25,7.69,,,,
Houboulang Mendes,,6.23,5.45,6.22,7.42,,,,,
Marciano Tchami,,6.82,,,,,,,,
Arnau Puigmal,,7.3,6.83,,,,,,,
David García,,7.25,7.17,7.36,7.38,5.59,,5.43,7.76,7.45
Asier Osambela,,7.6,,,,,,,,
Aitor Fernández,,7.73,7.79,7.14,7.46,7.39,7.11,,,
