Player,rating,totalRating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,goalsAssistsSum,accuratePasses,inaccuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,shotsOffTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltyFaced,penaltySave,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,penaltyConversion,setPieceConversion,totalAttemptAssist,totalContest,totalCross,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,scoringFrequency,yellowRedCards,savesCaught,savesParried,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,goalKicks,ballRecovery,id,type,appearances,goalsPrevented,Value,Positions,Height,Main position
Destiny Udogie,6.03,121.4,4.0,0.0,0.0,0.0,0.0,0.5406490058183404,0.0,428.0,38.0,658.0,96.06256364519108,352.0,504.0,76.0,12.0,14.0,22.0,62.0,2.0,0.0,0.0,0.0,2.0,26.178324118475903,2.0,0.0,0.0,6.0,43.48914313170942,0.0,73.64732684266356,126.0,2.9544442428264546,1748.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,8.0,104.0,30.0,0.0,0.0,14.0,62.0,0.0,10.0,0.0,958.0,38.0,4.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,16.0,38.0,26.0,74.0,12.0,0.0,0.0,0.0,16.0,10.0,26.0,81.15548516391613,0.0,0.0,0.0,0.0,484.0,62.0,0.0,0.2831790016497506,0.0,108.0,1520164.0,overall,2.0,0.0,€45.00m,"['Left-Back', 'Left Midfield']","1,88 m",Left-Back
Diogo Dalot,7.85,187.8,22.0,0.0,0.0,0.0,0.0,1.9528332435677875,0.0,114.0,84.0,1274.0,77.799916425711,550.0,22.0,118.0,6.0,6.0,105.11934580009972,52.0,20.0,2.0,0.0,0.0,2.0,10.235503196895316,2.0,0.0,0.0,32.0,114.74522366701991,2.0,7.5853363534393665,8.0,105.50580700270628,1306.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,30.0,59.4120376177819,26.0,0.0,0.0,2.0,128.0,2.0,66.0,14.0,1210.0,4.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,8.0,14.0,4.0,0.0,0.0,0.0,42.0,20.0,36.0,127.26792524599708,0.0,0.0,0.0,0.0,226.0,142.0,0.0,0.155804918616673,0.0,102.0,1507920.0,overall,10.0,0.0,€40.00m,"['Right-Back', 'Left-Back']","1,83 m",Right-Back
Djed Spence,6.6,4.6,2.0,0.0,0.0,0.0,0.0,0.0282040763663354,0.0,48.0,0.0,40.0,81.88646482568133,18.0,16.0,10.0,0.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.130579053957128,0.0,0.0,0.0,76.84917884043107,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,24.0,26.0,0.0,0.0,0.0,0.0,1520142.0,overall,0.0,0.0,€8.00m,"['Right-Back', 'Right Midfield', 'Left-Back']","1,84 m",Right-Back
Dominic Solanke,6.06,152.6,4.0,6.0,0.0,2.0,0.0,0.5859650483704463,4.0,154.0,80.0,274.0,114.47821453313408,4.0,94.0,6.0,10.0,10.0,44.9348687562631,18.0,0.0,0.0,0.0,0.0,0.0,40.0,2.0,10.0,8.0,48.0,14.61836449576316,22.0,20.837318117403527,114.0,66.92717095665284,1518.0,5.708303596879674,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,34.0,0.0,0.0,0.0,4.0,2.0,78.81106781965718,8.0,0.0,0.0,36.0,32.0,6.0,0.0,6.0,356.0,30.0,12.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,12.0,18.0,2.0,56.0,38.0,0.0,0.0,0.0,10.0,14.0,2.0,0.0,222.9186221356248,0.0,0.0,0.0,74.0,54.0,0.0,7.561171616844456,0.0,22.0,1520170.0,overall,14.0,0.0,€45.00m,['Centre-Forward'],"1,86 m",Centre-Forward
Edward Nketiah,5.85,86.6,6.0,0.0,0.0,0.0,0.0,0.1085742822852246,0.0,0.0,18.0,76.0,68.71674550720167,26.0,76.0,40.0,10.0,4.0,40.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2.0,10.0,30.0,13.105903890318023,6.0,39.619193012327486,2.0,15.989103346534977,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,12.0,66.0,2.0,2.0,2.0,86.0,18.0,12.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.0,4.0,0.0,2.0,0.0,0.0,0.0,2.0,8.0,8.0,66.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.8538147660319046,0.0,20.0,1585587.0,overall,16.0,0.0,€30.00m,"['Centre-Forward', 'Right Winger', 'Left Winger']","1,75 m",Centre-Forward
Emerson Palmieri,7.87,111.7,8.0,0.0,2.0,0.0,0.0,0.6940443161830434,0.0,258.0,64.0,582.0,59.47803748873541,74.0,144.0,50.0,4.0,4.0,36.16323088111483,30.0,14.0,0.0,0.0,0.0,14.0,28.196114564562425,14.0,0.0,4.0,18.0,69.24109462570051,4.0,82.03450008801083,42.0,40.15807958732674,952.0,1.2962531990873103,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,24.0,21.30976124529009,38.0,0.0,0.0,4.0,80.0,4.0,30.0,10.0,1112.0,2.0,18.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,84.0,12.0,2.0,60.0,0.0,6.0,0.0,0.0,0.0,14.0,14.0,10.0,56.20981940479951,1274.0,0.0,0.0,0.0,190.0,390.0,0.0,0.3768319605890697,0.0,2.0,1511994.0,overall,12.0,0.0,€12.00m,"['Left-Back', 'Left Midfield']","1,76 m",Left-Back
Emil Krafth,7.66,37.8,2.0,0.0,0.0,0.0,0.0,0.0030892273320453,0.0,116.0,18.0,62.0,112.29768579054137,12.0,4.0,4.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.00948948501731,4.0,107.76260060489987,2.0,8.0,286.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.29722587631456,6.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,6.0,2.0,0.0,78.0,0.0,0.0,0.0,0.0,60.0,8.0,0.0,0.0568133432092064,0.0,8.0,1510376.0,overall,2.0,0.0,€2.50m,"['Right-Back', 'Centre-Back']","1,84 m",Right-Back
Emiliano Martinez,7.53,23.3,4.0,0.0,0.0,0.0,0.0,0.009903002570051,0.0,458.0,86.0,608.0,84.93557633235821,186.0,24.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,102.0,0.0,118.0,0.0,4.983156241930885,1702.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,3.871452381048691,14.0,0.0,0.0,0.0,112.0,0.0,14.0,0.0,974.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,2.0,0.0,38.0,4.0,18.0,2.0,0.0,6.0,18.0,14.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.0,28.0,0.0,96.0,0.0,0.0,0.0,12.0,334.0,162.0,0.0,0.0,28.0,152.0,1511964.0,overall,10.0,-0.2456109729173095,€28.00m,['Goalkeeper'],"1,95 m",Goalkeeper
Enzo Fernandez,8.46,139.6,10.0,0.0,2.0,0.0,2.0,1.9491130689935168,6.0,946.0,150.0,788.0,59.240995873068485,114.0,216.0,222.0,16.0,0.0,98.0,8.0,2.0,0.0,0.0,0.0,8.0,27.093850211705092,6.0,4.0,2.0,62.0,62.851138923033304,0.0,29.92681692406499,48.0,71.89422269153357,522.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,6.0,0.0,0.0,0.0,32.0,65.78529957116683,6.0,0.0,2.0,8.0,250.0,4.0,2.0,6.0,984.0,8.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,4.0,22.0,78.0,2.0,0.0,0.0,0.0,26.0,8.0,8.0,57.14900940941331,494.0,0.0,0.0,0.0,92.0,104.0,0.0,0.1079726144532013,0.0,64.0,1516492.0,overall,20.0,0.0,€75.00m,"['Central Midfield', 'Defensive Midfield', 'Attacking Midfield']","1,78 m",Central Midfield
Eric da Silva Moreira,5.88,0.5,0.0,0.0,0.0,0.0,0.0,0.0007280950930199,0.0,0.0,0.0,8.0,60.414391190136485,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,27.779595816554373,0.0,0.0,2.0,6.690259538643577,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1650564.0,overall,0.0,0.0,€1.00m,"['Right Winger', 'Right-Back', 'Centre-Forward']","1,85 m",Right Winger
Erling Haaland,8.49,35.6,4.0,20.0,2.0,10.0,0.0,0.7322281131038222,0.0,14.0,8.0,228.0,26.353366093289623,4.0,50.0,38.0,6.0,0.0,61.151784181481815,2.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,18.0,26.0,6.0,8.740753244042885,18.0,47.430134864445215,62.0,37.93203777817448,1620.0,24.27478641729036,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,104.0,12.0,0.0,10.0,2.0,0.0,182.0,18.0,0.0,0.0,28.0,76.0,0.0,4.0,0.0,44.0,6.0,2.0,4.0,0.0,0.0,0.0,10.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,6.0,10.0,0.0,0.0,34.0,0.0,0.0,0.0,2.0,10.0,2.0,94.0,69.71790710247346,0.0,0.0,0.0,74.0,124.0,4.0,8.762741198482196,0.0,18.0,1516462.0,overall,18.0,0.0,€200.00m,['Centre-Forward'],"1,95 m",Centre-Forward
Ethan Nwaneri,8.1,32.5,2.0,0.0,0.0,0.0,0.0,0.3243457825227126,0.0,40.0,0.0,50.0,134.51637678106934,18.0,34.0,4.0,2.0,4.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,4.0,0.0,0.0,6.0,104.0,0.0,0.0,4.0,64.0,106.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,188.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,138.0,0.0,0.0,0.0,6.0,2.0,0.0,0.2522820551225088,0.0,8.0,1587690.0,overall,10.0,0.0,€12.00m,"['Attacking Midfield', 'Centre-Forward', 'Right Winger']","1,76 m",Attacking Midfield
Ethan Pinnock,0.0,86.0,2.0,2.0,2.0,0.0,0.0,1.1927313858630808,0.0,1072.0,66.0,92.0,39.17798004183044,198.0,170.0,70.0,6.0,4.0,21.718527144420612,26.0,20.0,2.0,0.0,0.0,0.0,14.19178932438463,2.0,6.0,0.0,20.0,38.99562582726549,6.0,114.0,116.0,45.57014832834302,182.0,1.5541870299459717,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,14.0,0.0,2.0,0.0,0.0,48.0,65.6529339204615,162.0,2.0,0.0,2.0,30.0,0.0,42.0,0.0,1054.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,10.0,12.0,6.0,38.0,8.0,0.0,0.0,0.0,144.0,16.0,12.0,74.05529867398619,456.0,0.0,0.0,0.0,342.0,222.0,2.0,1.3277547855310596,10.0,64.0,1515010.0,overall,20.0,0.0,€10.00m,['Centre-Back'],"1,94 m",Centre-Back
Evan Ferguson,7.46,20.0,0.0,0.0,0.0,0.0,0.0,0.0110662156629029,0.0,12.0,0.0,64.0,115.83601571636656,14.0,16.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,38.049193134505515,4.0,24.0,14.0,55.571148234264186,124.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,96.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,75.88823924378431,26.0,0.0,0.0,0.0,20.0,12.0,0.0,0.3645598228300103,0.0,0.0,1585539.0,overall,8.0,0.0,€45.00m,['Centre-Forward'],"1,88 m",Centre-Forward
Evanilson,7.89,103.3,18.0,0.0,0.0,6.0,0.0,0.7998051778086056,2.0,78.0,50.0,4.0,114.5243206101682,20.0,14.0,4.0,4.0,6.0,76.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,14.0,42.0,84.0,12.0,16.59404469149589,8.0,35.71938102833439,1130.0,8.149371183616068,0.0,0.0,8.0,0.0,0.0,0.0,4.0,0.0,30.0,2.0,0.0,0.0,0.0,0.0,107.119638047877,6.0,0.0,0.0,6.0,134.0,14.0,2.0,0.0,54.0,38.0,18.0,0.0,0.0,2.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,16.0,2.0,0.0,74.0,18.0,0.0,0.0,0.0,2.0,8.0,2.0,1.376955138077058,279.5233604227367,0.0,0.0,0.0,54.0,28.0,0.0,7.703939858643032,0.0,28.0,1532709.0,overall,24.0,0.0,€35.00m,['Centre-Forward'],"1,83 m",Centre-Forward
Ezri Konsa,7.45,44.6,18.0,0.0,0.0,0.0,0.0,0.3926929293769887,0.0,364.0,34.0,616.0,85.9181461185065,324.0,144.0,110.0,2.0,2.0,18.639000174623337,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,20.606183864747095,2.0,89.7907039315717,62.0,128.0845608433572,200.0,66.51374114284701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,8.0,3.901472886205738,42.0,0.0,0.0,2.0,44.0,0.0,6.0,12.0,786.0,22.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,10.0,0.0,16.0,4.0,0.0,0.0,0.0,10.0,28.0,12.0,95.65233890230812,136.0,0.0,0.0,0.0,458.0,170.0,0.0,0.6538442898178343,2.0,24.0,1511970.0,overall,22.0,0.0,€35.00m,"['Centre-Back', 'Right-Back']","1,83 m",Centre-Back
Facundo Buonanotte,5.9,29.8,6.0,2.0,8.0,0.0,0.0,0.8123504951091263,2.0,236.0,44.0,32.0,90.65619161058602,82.0,40.0,96.0,20.0,2.0,21.85219015022919,38.0,2.0,4.0,0.0,0.0,2.0,36.02957878744161,30.0,4.0,0.0,20.0,4.112917348651017,4.0,48.6283019814571,22.0,70.12268556954061,700.0,25.901956697059394,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,18.0,12.0,0.0,2.0,0.0,12.0,24.65913461556675,2.0,0.0,0.0,20.0,190.0,6.0,16.0,12.0,428.0,14.0,10.0,0.0,0.0,46.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,26.0,10.0,32.0,0.0,0.0,0.0,10.0,22.0,24.0,38.0,330.53524004680037,0.0,0.0,0.0,82.0,240.0,0.0,2.9917554195510334,0.0,98.0,1520180.0,overall,18.0,0.0,€18.00m,"['Attacking Midfield', 'Right Winger', 'Right Midfield']","1,74 m",Attacking Midfield
Ferdi Kadıoglu,5.95,73.3,4.0,0.0,0.0,0.0,0.0,0.168797089302926,0.0,170.0,20.0,16.0,157.15168919477657,80.0,0.0,32.0,4.0,2.0,50.0,18.0,14.0,0.0,0.0,0.0,6.0,5.486920185292021,6.0,0.0,0.0,20.0,4.163475304011335,0.0,44.0,26.0,86.84165159841696,574.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,39.32622759339074,14.0,0.0,0.0,0.0,82.0,0.0,6.0,6.0,312.0,0.0,8.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,2.0,0.0,0.0,0.0,0.0,2.0,14.0,8.0,118.0,34.0,0.0,0.0,0.0,0.0,62.0,0.0,0.5697353323229585,0.0,26.0,1585537.0,overall,0.0,0.0,€30.00m,"['Left-Back', 'Right-Back', 'Central Midfield']","1,74 m",Left-Back
Filip Jørgensen,6.79,3.9,0.0,0.0,0.0,0.0,0.0,1.662756781863289e-05,0.0,6.0,0.0,28.0,28.40921262023606,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,4.0,0.0,0.0,0.0,2.0,1684507.0,overall,0.0,0.916168181866282,€20.00m,['Goalkeeper'],"1,92 m",Goalkeeper
Flynn Downes,8.06,27.7,20.0,0.0,0.0,0.0,0.0,0.2389955954332381,0.0,260.0,92.0,406.0,11.46368420289386,596.0,414.0,108.0,14.0,0.0,7.837699394222618,46.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,30.38020905654533,0.0,61.211308533427854,20.0,60.861751558713095,1236.0,27.641454280294177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,8.0,56.0,36.0,0.0,0.0,14.0,148.0,0.0,6.0,8.0,574.0,22.0,30.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,16.0,10.0,0.0,66.0,2.0,0.0,0.0,0.0,2.0,32.0,4.0,89.21217582009882,142.0,0.0,0.0,0.0,134.0,472.0,0.0,0.5581420466780347,0.0,42.0,1510362.0,overall,18.0,0.0,€13.00m,"['Defensive Midfield', 'Central Midfield', 'Attacking Midfield']","1,78 m",Defensive Midfield
Fraser Forster,8.24,0.2,0.0,0.0,0.0,0.0,0.0,8.018063445124705e-05,0.0,10.0,8.0,30.0,10.24322971003822,6.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0,104.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.81874223136343,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,26.0,0.0,0.0,0.0,0.0,10.0,1681704.0,overall,2.0,3.318286735483129,€1.20m,['Goalkeeper'],"2,01 m",Goalkeeper
Gabriel Magalhaes,8.15,99.5,10.0,2.0,0.0,2.0,0.0,0.992135777285812,0.0,8.0,34.0,440.0,150.3606887353664,420.0,340.0,84.0,4.0,0.0,68.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,12.0,6.0,0.0,14.0,69.46523528507437,0.0,123.98680099800322,38.0,13.077459639169902,706.0,14.404632012871826,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,24.0,0.0,2.0,0.0,0.0,26.0,80.79907472749443,56.0,0.0,0.0,0.0,78.0,0.0,22.0,8.0,1100.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,2.0,6.0,0.0,0.0,0.0,130.0,10.0,0.0,22.0,504.0,0.0,0.0,0.0,102.0,302.0,0.0,2.4878194028018976,10.0,30.0,1509867.0,overall,4.0,0.0,€75.00m,['Centre-Back'],"1,90 m",Centre-Back
Gabriel Martinelli,5.56,114.6,18.0,2.0,0.0,4.0,0.0,0.1747341979556997,4.0,246.0,28.0,198.0,3.3285716233478126,46.0,100.0,72.0,14.0,24.0,79.02144056841826,10.0,0.0,0.0,0.0,0.0,2.0,40.27595775377878,18.0,6.0,4.0,26.0,76.93201795630392,12.0,32.27647622765437,68.0,0.2836312146837443,1338.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,0.0,0.0,2.0,4.0,88.1142687775405,6.0,0.0,0.0,2.0,24.0,4.0,12.0,4.0,8.0,6.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,12.0,8.0,30.0,52.0,10.0,0.0,0.0,0.0,8.0,10.0,0.0,47.77428379541206,218.62499321775235,0.0,0.0,0.0,16.0,322.0,0.0,0.8923024646996174,0.0,14.0,1509903.0,overall,20.0,0.0,€60.00m,"['Left Winger', 'Right Winger']","1,78 m",Left Winger
George Hirst,7.42,44.7,8.0,0.0,0.0,0.0,0.0,0.0764398060056009,2.0,40.0,12.0,34.0,104.55808377692784,2.0,26.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,4.0,20.232326811150116,14.0,71.27087167563712,14.0,29.535641214626423,90.0,56.22810768689283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,12.0,66.0,2.0,0.0,0.0,8.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,22.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,166.0,72.0,0.0,0.0,0.0,4.0,66.0,0.0,1.2837319672900056,0.0,0.0,1585547.0,overall,2.0,0.0,€4.00m,['Centre-Forward'],"1,91 m",Centre-Forward
