,rating,totalRating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,goalsAssistsSum,accuratePasses,inaccuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,shotsOffTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltyFaced,penaltySave,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,penaltyConversion,setPieceConversion,totalAttemptAssist,totalContest,totalCross,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,scoringFrequency,yellowRedCards,savesCaught,savesParried,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,goalKicks,ballRecovery,id,type,appearances,goalsPrevented
Mats Wieffer,6.7,5.3,8,0,0,0,0,0.07908444149761323,0,122,28,226,121.8342279443443,48,214,64,2,2,0.11748772939485974,22,2,0,0,0,0,0,0,0,2,34,29.875514192590344,10,83.50511810472344,34,11.789350447318256,288,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8,58,6,0,0,8,60,0,0,6,118,4,8,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,4,0,0,0,8,0,12,14,0,0,0,12,8,8,76,0,0,0,0,192,212,0,0.21790449236222242,0,36,1510782,overall,2,
Yasin Ayari,6.17,44.4,18,0,2,0,0,1.0104766825388127,0,148,58,56,159.74198826727695,38,212,86,10,0,32,30,6,0,0,0,12,38.67672814714372,2,0,4,38,84.06527396213394,6,24.538556140634853,54,93.90334595555447,358,0,0,0,0,0,0,0,0,0,10,0,0,0,0,2,0,4,0,0,12,92,4,12,0,730,6,6,0,0,14,0,2,0,0,0,0,0,0,0,4,2,0,0,0,0,0,6,0,0,14,16,30,22,14,0,0,0,12,10,22,37.75573120747622,0,0,0,0,178,274,0,0.044403683880069766,0,12,1510756,overall,16,
Joël Veltman,8.22,89.9,6,0,0,0,0,1.9519826762934716,0,504,30,516,106.17515478923441,306,48,74,0,2,46.152152842574296,0,14,0,0,0,0,5.499754300012228,2,0,0,4,100.00282058825127,0,9.776268306090095,20,98.63241188985141,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,34.36076223778409,40,0,0,8,20,0,8,8,426,26,10,0,0,26,0,0,0,0,2,0,0,0,0,12,2,0,0,0,0,0,10,0,0,0,12,4,62,16,0,0,0,60,6,26,43.41635139101456,0,0,0,0,182,128,0,0.031311302140932404,0,62,1510734,overall,8,
Jack Hinshelwood,5.77,12.5,18,0,0,0,0,0.5842448485977603,0,484,6,698,123.9782985422201,70,282,114,4,0,2.2966550682489313,14,0,2,0,0,0,27.085241965869294,2,4,0,4,75.47873977773867,2,12.622080012246101,24,26.652071947388713,72,13.952735219391887,0,0,0,0,0,0,0,0,6,0,0,0,0,12,26.306244970939808,4,0,0,0,130,0,42,22,322,2,6,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,10,4,22,20,12,0,0,0,64,20,14,36,342,0,0,0,202,78,0,0.9440627908326329,0,38,1510768,overall,4,
Bart Verbruggen,8.22,78.1,12,0,0,0,0,0.00411320003736498,0,16,148,624,17.285534096867394,256,48,8,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0.14883003621189772,2,10,4,81.39005202848725,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,23.452828009172705,6,2,0,0,154,0,28,44,104,0,0,0,0,0,0,0,0,68,0,0,0,32,0,14,2,6,14,12,14,0,10,0,0,0,0,0,0,0,0,0,0,68,20,0,0,0,0,0,6,584,96,2,,36,116,1540667,overall,12,-0.0914953256272295
Jason Steele,8.07,28.3,0,0,0,0,0,0.00010714263559060067,0,138,8,24,51.628685227040336,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,86,2,29.199583355742647,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,52.98569382553532,4,0,0,0,18,0,14,16,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,80,12,0,,2,2,1510780,overall,0,-0.18679684633361793
João Pedro,8.91,24.4,4,4,0,2,2,2.346218541439981,2,172,38,196,49.52424697933341,68,62,62,2,0,96,10,4,0,0,0,2,6,24,0,4,58,89.03470247979774,10,118.09495798988453,22,46.57880256689451,876,1.2143005410215082,0,0,0,0,0,0,2,0,8,6,0,0,2,6,84.9516478062932,6,0,0,14,112,6,12,2,134,10,2,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,36,4,40,12,0,0,0,4,0,4,108.63346243915973,242.22044898593208,0,0,0,34,2,0,2.392911680625925,0,12,1510736,overall,12,
Carlos Baleba,6.98,3.4,20,0,2,0,0,0.16390846844265425,4,584,2,16,7.864807231266681,46,244,18,10,6,20,18,20,0,0,0,0,0,34,0,6,36,18.8520099947836,14,62.291247712575654,22,5.793578057006833,1070,20.703890254227606,0,0,0,0,0,0,0,0,2,14,0,0,0,16,3.613203544042676,4,0,0,18,82,4,6,4,942,24,24,0,0,16,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,10,0,28,8,0,0,0,14,12,14,86.1734688475297,350,0,0,0,226,44,0,1.0034376446452076,0,20,1526297,overall,12,
Pervis Estupiñán,7.04,29.9,8,0,0,0,0,2.300075651080175,0,442,88,354,128.50288467026,312,210,92,10,6,34.131209771143105,2,20,0,0,0,8,73.256317761795,2,0,2,8,5.6650671454814585,6,128,46,19.647724709646667,438,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,35.24059675436492,30,0,0,6,106,6,4,2,1208,2,16,0,0,8,2,6,0,0,0,0,0,0,0,14,2,0,0,0,0,0,10,0,0,14,10,42,42,10,0,0,0,8,14,0,36.28109831571401,0,0,0,0,294,268,0,0.15793725973150968,0,28,1540662,overall,4,
Tariq Lamptey,7.19,0.3,2,0,0,0,0,0.13552124329671367,2,58,2,50,2.784751219618798,20,24,0,2,0,30.72004216435313,2,0,0,0,0,0,80,0,0,0,4,29.867719290399194,0,0,2,0.6195173753345671,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.62173283932894,2,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,4,0,2,46,0,0,0,0,28,2,0,,0,2,1642049,overall,2,
Kaoru Mitoma,5.66,168.3,26,2,0,8,2,0.7360876897688762,0,654,50,560,44.450539264659426,122,394,170,26,24,27.64297666151147,22,4,0,0,0,14,1.7586007370398598,44,6,6,58,63.677861595018356,12,50.77723911656433,112,85.24069883653331,1752,12.828378278700539,0,0,0,0,0,0,0,0,12,2,0,0,2,6,28,0,0,0,6,134,2,28,0,760,0,18,0,0,28,0,4,0,0,0,0,0,0,0,14,0,0,0,0,0,0,4,0,0,34,108,44,24,4,0,0,0,16,16,14,36.538072675063084,118,0,0,0,170,240,0,4.183494312779311,0,26,1510746,overall,18,
Jan Paul van Hecke,7.72,70.2,10,0,2,0,0,0.9945367186174032,0,394,40,444,134.89955317329708,498,170,54,0,2,38,14,2,2,0,0,4,58,0,0,2,14,31.287749438834958,8,93.77382348615885,36,88.62352396046523,150,0,0,0,0,0,0,0,0,0,4,4,0,0,0,52,113.51965974119358,26,0,0,0,46,0,134,100,1040,2,0,0,0,10,0,2,0,0,2,0,0,0,0,16,2,0,0,0,0,0,4,0,0,4,2,6,34,40,0,0,0,56,4,8,122.8878832109067,0,0,0,0,570,118,0,0.8631562255865785,12,10,1510744,overall,22,
Ferdi Kadıoğlu,5.95,73.3,4,0,0,0,0,0.16879708930292608,0,170,20,16,157.15168919477657,80,0,32,4,2,50,18,14,0,0,0,6,5.486920185292021,6,0,0,20,4.163475304011335,0,44,26,86.84165159841696,574,18,0,0,0,0,0,0,0,0,2,0,0,0,0,6,39.32622759339074,14,0,0,0,82,0,6,6,312,0,8,0,0,6,0,2,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,4,6,2,0,0,0,0,2,14,8,118,34,0,0,0,0,62,0,0.5697353323229585,0,26,1585537,overall,0,
Yoane Wissa,7.43,84.6,14,8,0,0,0,0.4779675794807037,14,62,50,272,45.9344592212764,58,100,14,12,4,62.293596939055504,2,4,0,0,0,0,0,22,2,2,42,95.70551039338383,14,79.87872819403381,8,22.728481423014813,770,66,0,0,0,0,0,0,4,0,2,6,2,0,4,6,105.72002678707365,0,0,0,6,28,6,2,12,64,10,4,0,0,0,2,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,12,0,0,2,14,0,54,6,0,0,0,20,2,0,30,196.36616832946413,0,0,0,84,88,0,7.990374753340926,0,2,1514996,overall,6,
Kevin Schade,7.43,150.9,16,2,0,6,0,0.6182531651743202,6,32,34,126,73.27100405013837,22,4,62,0,12,4.010620132810672,4,0,0,0,0,0,13.590164673278007,20,12,6,56,37.29940969659399,24,104.30443066281279,74,95.46500644331726,820,17.374836525455017,0,0,0,0,0,0,2,0,14,2,0,0,0,0,7.645971986200223,12,0,0,4,66,2,8,2,20,12,6,0,0,2,0,8,0,0,0,0,0,0,0,16,0,0,0,0,0,0,6,0,0,4,0,16,2,26,0,0,0,0,4,18,116,280,0,0,0,52,2,0,2.794024027971057,0,36,1515004,overall,8,
Yehor Yarmoliuk,5.73,34,16,0,0,0,0,0.1860463819559945,0,14,30,20,34.69360213562162,132,68,14,0,0,47.1298655200529,2,2,0,0,0,0,12.252922115358984,2,0,0,2,44.49636288077278,0,72,4,61.885996785224165,256,0,0,0,0,0,0,0,0,0,2,2,0,0,0,10,22.49699679050073,8,0,0,4,96,2,10,2,158,0,0,0,0,14,0,2,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,4,2,4,4,2,0,0,0,16,0,6,5.093982326121456,0,0,0,0,114,80,0,0.5278603461196428,0,16,1585638,overall,14,
Mathias Jensen,6.4,47,6,0,2,0,0,0.41088320491391395,0,292,62,10,65.64376317463393,78,12,44,8,4,17.87614631648151,4,2,0,0,0,2,17.11558703830725,8,0,0,8,16.514008522794327,4,10,0,35.03499296198804,180,0,0,0,0,0,0,0,0,0,0,2,0,0,0,20,118,0,0,0,6,72,0,34,30,224,14,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,8,10,6,24,2,0,0,0,8,10,4,44,0,0,0,0,144,188,0,0.20898854945422524,0,40,1515000,overall,10,
Yunus Konak,6.68,14,0,0,0,0,0,0.005128501383230792,0,14,4,4,125.026652354795,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9045939132037155,0,96,4,32,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,2,0,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0,0,0,0,2,0,68,0,0,0,0,0,2,0,0.2112621050509991,0,0,1597458,overall,6,
Mads Roerslev,7.71,34.9,8,0,2,0,0,0.2633583790854521,0,228,26,164,33.2987095768447,154,118,94,12,6,58,8,2,0,0,0,2,14.94336463749905,0,0,0,20,44.82292103825855,8,101.23566821098481,8,6.5282656609604786,464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,18,18,0,0,2,68,0,10,0,88,0,0,0,0,8,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,8,8,16,30,0,0,0,0,12,0,2,34,0,0,0,0,164,82,0,0.0032502188768330264,0,22,1515002,overall,18,
Sepp van den Berg,7.82,141,18,0,0,0,0,0.517069397998037,0,672,104,636,134.65852482778558,356,206,34,4,2,12.569372783059634,26,8,0,0,0,0,37.548475563742244,10,2,0,46,103.29163300911253,40,17.429689852407662,6,75.19773275711687,1342,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,21.65285157444952,56,0,0,0,170,2,4,10,72,0,10,0,0,10,0,2,0,0,0,0,0,0,0,18,0,0,0,0,0,0,16,0,0,2,12,2,44,32,0,0,0,30,32,18,93.37517394584847,0,0,0,0,242,94,0,0.6354370833589605,0,8,1541606,overall,22,
Ethan Pinnock,0,86,2,2,2,0,0,1.1927313858630808,0,1072,66,92,39.17798004183044,198,170,70,6,4,21.718527144420612,26,20,2,0,0,0,14.19178932438463,2,6,0,20,38.99562582726549,6,114,116,45.57014832834302,182,1.5541870299459717,0,0,0,0,0,0,2,0,14,0,2,0,0,48,65.6529339204615,162,2,0,2,30,0,42,0,1054,0,0,0,0,2,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,22,0,0,10,12,6,38,8,0,0,0,144,16,12,74.05529867398619,456,0,0,0,342,222,2,1.3277547855310596,10,64,1515010,overall,20,
Kristoffer Ajer,6.46,23.4,12,0,0,0,0,0.08237553307491104,0,142,0,514,46.85021552478803,222,146,4,0,4,20,10,0,4,0,0,0,10,0,0,0,0,70.74618905591791,14,12,30,36.91481008807508,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3.8653574728524234,4,0,0,10,40,0,20,10,578,4,6,0,0,10,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,2,0,0,2,10,4,50,4,0,0,0,32,10,2,78.9497868131296,0,0,0,0,182,164,0,0.17026002636702964,0,14,1515046,overall,8,
Ben Mee,6.16,1.6,0,0,0,0,0,2.386154213614445e-05,0,0,2,4,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,112,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.1245019399509,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,,0,0,1515030,overall,2,
Mark Flekken,8.29,127.1,12,0,0,0,0,0.006551930528849816,0,908,42,1186,31.413739829953144,254,66,10,0,0,176,0,0,0,0,0,0,0,0,0,0,6,54.85694714262351,4,130,8,38.99483455525059,416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,96.5053549548306,32,0,0,0,198,0,32,100,1344,0,0,0,0,0,0,0,0,62,0,0,0,58,16,4,0,2,16,18,22,0,4,0,0,0,0,0,0,0,0,0,0,256,26,0,82,0,0,0,26,210,130,0,,100,196,1515012,overall,0,-0.7528592962076077
Vitaly Janelt,8,78,16,0,4,0,0,2.1740706793838207,4,690,12,236,114.43609208431396,310,286,20,2,2,49.123180518022394,24,16,0,0,0,2,73.04468489634453,12,0,4,32,39.65345239772015,16,89.85606846323424,12,35.301244419489336,556,1.595288446981293,0,0,0,0,0,0,0,0,2,4,0,0,0,2,65.07114872292317,32,0,0,6,108,2,0,12,416,0,2,0,0,6,0,2,0,0,0,0,0,0,0,22,0,0,0,0,0,0,12,0,0,12,6,18,42,4,0,0,0,46,16,12,100.16589815100718,956,0,0,0,206,476,0,0.13999561775040664,0,84,1515008,overall,0,
Christian Nørgaard,6.69,120,6,0,0,2,0,0.2909144871455822,2,14,90,42,55.64055850520353,132,230,44,10,4,42,10,18,2,0,0,0,18,10,0,2,12,79.7631254373446,6,56.06814653216417,66,115.7584909773133,1688,12.216285334717352,0,0,0,0,0,0,0,0,6,4,0,0,0,12,22.06296235266234,34,0,0,10,2,2,30,32,836,24,8,0,0,10,0,4,0,0,0,0,0,0,0,26,0,0,0,0,0,0,6,0,0,10,8,2,74,6,0,0,0,0,2,38,107.22906101316967,1108,0,0,0,62,240,0,0.9284296826095042,0,10,1515006,overall,20,
Mikkel Damsgaard,8.42,64,10,2,2,0,6,2.7052086585179023,8,62,108,640,77.25673552745138,28,294,282,32,14,22,62,0,0,0,0,2,56.19986375324131,6,0,4,56,85.6281424424389,14,70,56,68.36789760976237,400,24.69005535385508,0,0,0,0,2,0,0,0,4,0,0,0,2,12,9.71827236198611,16,0,0,2,320,2,62,12,612,16,6,0,0,14,0,8,0,0,0,0,0,0,0,28,0,0,0,0,0,0,16,0,0,22,34,16,106,4,0,0,0,36,10,26,110.68180887358352,74,0,0,0,170,2,0,0.01207924994598586,0,84,1515028,overall,8,
Nathan Collins,7.04,104.1,16,0,0,0,0,1.0715547458316177,0,634,78,758,165.4587146964488,778,398,96,4,6,80,14,16,0,0,0,0,52.55930509009926,16,4,0,4,56,86,48.92599781533035,2,116.57265361126979,1780,3.608430307381372,0,0,0,0,0,0,0,0,2,0,0,0,0,12,56.78941735172813,92,0,0,2,2,2,54,44,1966,8,4,0,0,4,4,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,8,0,0,2,0,4,50,6,0,0,0,124,30,6,36.43541123822641,808,0,0,0,558,174,4,3.033296864481101,0,108,1515016,overall,4,
Bryan Mbeumo,8.82,132.2,20,12,2,4,0,5.894265067862438,16,388,12,680,72.08317713242826,92,168,262,34,12,50.5532181848036,26,0,2,0,0,32,5.1332857392881195,2,4,0,32,5.299146435143463,10,15.145722441980066,76,81.74277853769956,494,3.7294567761433797,0,2,0,0,2,0,6,0,12,4,0,10,0,10,19.208783228624696,30,0,0,24,186,0,4,0,1006,20,10,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,188,0,36,64,60,144,34,0,0,0,20,34,4,100,64.80085655502802,0,0,0,220,630,2,1.3386068556095934,0,94,1514992,overall,14,
David Brooks,7.72,11.9,0,0,0,0,0,0.16419012183845627,0,50,10,60,62.77371740983645,16,42,8,6,0,42,4,0,0,0,0,2,44,2,0,0,2,2.8994071119521863,0,6.30134253103526,8,42,50,61.291861768522764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.558164327545498,0,0,0,0,42,2,4,2,96,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,20,12,0,0,0,0,4,2,0,35.84549276705465,216,0,0,0,4,84,0,0.01781073365624186,0,14,1622465,overall,12,
Antoine Semenyo,7.14,117.4,16,2,6,4,0,4.013030519198181,0,322,98,130,142.09143690453803,72,26,76,16,54,87.30748918427267,4,2,8,0,0,0,13.972949823436565,64,16,12,100,6.731957681973171,8,22.967854618796217,28,18.92345664173145,1656,10.760237856149391,0,0,0,0,0,0,4,0,58,0,0,0,2,4,58,6,0,0,24,292,2,8,8,666,2,2,0,0,6,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,26,16,12,82,28,0,0,0,2,22,4,86.86477089452555,452,0,0,0,174,314,0,4.215885807519971,0,72,1510807,overall,18,
Justin Kluivert,8.03,151.6,12,0,2,0,2,0.6558396290346877,6,14,30,76,148.86384292919234,64,164,114,28,2,40.052059697285245,8,2,0,0,0,4,30,34,16,12,30,48.13834660201769,0,23.2377445616021,48,35.1757600468845,1622,18,6,2,0,0,0,0,4,0,8,2,0,0,2,2,62,0,0,0,0,34,6,10,4,348,16,2,0,0,0,4,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,8,38,0,18,32,6,50,12,0,0,0,20,24,12,60.95223743179298,320.08297778371593,0,0,0,48,128,0,1.778214248441194,0,8,1510846,overall,2,
Alex Scott,6.36,0,14,0,0,0,0,0.07027553766363798,0,168,26,202,90.08626374041692,0,8,58,4,2,33.7703137759332,4,6,0,0,0,0,0,2,0,0,18,52.2431428881827,0,1.767157120249653,32,37.64982350334986,268,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,118,0,0,0,4,40,8,8,12,40,2,2,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,2,4,10,21.48460488459328,0,0,0,0,68,100,0,0.2361503715472045,0,22,1510803,overall,2,
Ryan Christie,8.16,165.4,4,0,0,0,0,0.9257725240904556,0,248,0,618,13.555012247186795,232,182,138,22,4,59.36524470507753,18,16,0,0,0,0,2,12,2,2,58,13.686877916384454,2,20.100134083660564,16,78,434,16.86043395620192,0,0,0,0,0,0,0,0,2,2,0,0,0,26,27.370531168122533,32,0,0,12,142,4,0,4,1088,20,16,2,0,22,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,16,0,0,10,16,4,6,2,0,0,0,16,12,10,86.34054405988721,376,0,0,0,298,442,0,0.5926725220420515,0,16,1510809,overall,0,
Miloš Kerkez,5.98,24,14,0,4,0,0,0.6749028812404061,0,274,138,852,89.62666043414033,262,142,160,8,8,106,26,24,2,0,0,10,32.32635684119285,14,0,4,42,23.102835862654842,6,18,76,36.73680415881821,2282,12.424029564606947,0,0,0,0,0,0,0,0,0,2,0,0,0,16,22.10774548215143,46,0,0,4,82,8,12,12,1434,18,0,0,0,4,0,6,0,0,2,0,0,0,0,16,0,0,0,0,0,0,18,0,0,14,14,24,64,6,0,0,0,92,14,18,30,2052,0,0,0,42,248,0,0.0597144061100528,0,48,1510825,overall,2,
Illia Zabarnyi,7.91,58.9,20,0,0,0,0,0.19602794234235665,0,922,58,820,139.39319372794188,644,388,140,0,2,122,14,30,2,0,0,0,0,0,0,0,8,16.073825124128994,44,114.06943915123065,2,79.69178564515434,994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,45.375744970316156,68,0,0,2,184,0,104,36,1440,0,2,0,0,6,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,8,0,0,2,6,0,42,12,0,0,0,0,36,16,93.33147980650375,0,0,0,0,272,228,0,0.2754177741393717,0,78,1510823,overall,18,
Dean Huijsen,7.57,13.2,12,0,0,0,0,0.10170452751613512,0,358,8,38,131.86273729122289,204,70,30,4,0,0,0,10,0,0,0,0,0,2,0,0,8,6.759496172819567,28,81.3187070081534,40,90.76844582360285,414,18,0,0,0,0,0,0,0,0,6,0,0,0,0,22,28.84493851609404,14,0,0,0,16,0,14,0,486,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,14,10,0,0,0,42,0,2,47.25498001304341,314,0,0,0,192,106,0,0.8288698355392179,0,20,1510821,overall,12,
Max Aarons,6.78,10.9,0,0,0,0,0,0.010671448187557993,0,0,0,18,19.051984941262873,8,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,98,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,,0,4,1673364,overall,0,
Adam Smith,6.69,24,6,0,0,0,0,0.032957459337385225,0,272,72,448,148.1499598027832,104,130,0,4,0,76.10567537336026,4,10,4,0,0,0,19.64946980920592,0,0,0,16,17.565904271840452,10,33.32429590523281,8,13.129739959169129,506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.432764684143489,44,0,0,2,10,0,8,6,780,4,10,0,0,2,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,12,0,0,2,0,2,34,8,0,0,0,48,12,6,23.090856564038383,0,0,0,0,108,154,0,0.2454012303647891,0,34,1510799,overall,18,
Kepa Arrizabalaga,7.46,6.9,4,0,0,0,0,0.02012615455354381,0,98,46,12,83.6252613929282,190,24,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,98,0,88,462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,68.87306811454752,16,0,0,0,12,0,14,10,154,0,0,0,0,0,0,0,0,46,0,0,0,28,0,18,0,10,4,0,6,0,2,0,0,0,0,0,0,0,0,0,0,218,24,0,0,0,0,0,6,234,68,0,,26,42,1541634,overall,10,-1.2560937642571781
Mark Travers,6.74,6.7,2,0,0,0,0,0.0011623864100541725,0,22,38,46,126.16629190292403,30,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,45.38581456731578,10,0,0,0,18,0,0,0,20,0,0,0,0,0,0,0,0,12,0,0,0,16,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,8,28,24,0,,42,12,1586757,overall,4,4.20581826223674
Dango Ouattara,5.79,34.1,2,0,8,2,0,0.6760035884978244,0,124,40,226,49.60794845866559,10,72,10,14,16,25.18315611989147,14,2,0,0,0,2,23.510193622553302,10,0,4,46,12.605828376608251,10,54.331562187956685,50,14.731557500468746,480,6.572725396213734,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5.372045249660149,20,0,0,16,132,4,0,0,234,0,2,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2,0,0,14,28,6,74,4,0,0,0,12,4,24,99.84410601626635,814,0,0,0,38,218,0,4.281665860484332,0,20,1510805,overall,14,
Evanilson,7.89,103.3,18,0,0,6,0,0.7998051778086056,2,78,50,4,114.52432061016819,20,14,4,4,6,76,6,0,0,0,0,0,0,56,0,14,42,84,12,16.59404469149589,8,35.71938102833439,1130,8.149371183616068,0,0,8,0,0,0,4,0,30,2,0,0,0,0,107.119638047877,6,0,0,6,134,14,2,0,54,38,18,0,0,2,2,6,0,0,0,0,0,0,0,20,0,0,0,0,0,0,16,0,0,16,2,0,74,18,0,0,0,2,8,2,1.376955138077058,279.5233604227367,0,0,0,54,28,0,7.703939858643032,0,28,1532709,overall,24,
Philip Billing,6.09,21.4,2,0,0,0,0,0.5647642559432393,0,6,4,30,91.8518307370073,2,18,10,0,0,112,6,0,0,0,0,0,52.68668024007388,0,0,0,4,114,0,99.23439311969847,12,75.42933477522797,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,4,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,12,0,0,0,0,6,12,0,,0,8,1510841,overall,6,
Julian Araujo,5.63,93.5,2,0,0,0,0,0.06539330159595515,0,122,48,264,66.33528558063193,74,12,30,0,0,0,4,6,0,0,0,0,0,0,0,0,4,68,2,12,2,69.25182137115934,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,66.52616384079117,20,0,0,2,46,0,6,6,158,0,6,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,4,0,0,0,0,2,22,8,0,0,0,2,8,2,45.49880622816738,0,0,0,0,76,98,0,,0,18,1510832,overall,4,
